cell_line	network
ACH-000001	ovary
ACH-000004	myeloid_cell
ACH-000005	myeloid_cell
ACH-000007	colon
ACH-000009	colon
ACH-000011	urothelium
ACH-000012	lung
ACH-000013	ovary
ACH-000014	skin_of_body
ACH-000015	lung
ACH-000017	mammary_gland
ACH-000018	urothelium
ACH-000019	mammary_gland
ACH-000021	lung
ACH-000022	pancreas
ACH-000023	pancreas
ACH-000024	lymphoid_system
ACH-000025	leptomeningeal_cell
ACH-000026	urothelium
ACH-000028	mammary_gland
ACH-000029	lung
ACH-000030	lung
ACH-000035	lung
ACH-000036	glial_cell
ACH-000037	connective_tissue
ACH-000039	mesenchymal_cell
ACH-000040	glial_cell
ACH-000041	mesenchymal_cell
ACH-000042	pancreas
ACH-000045	myeloid_cell
ACH-000047	stomach
ACH-000048	ovary
ACH-000052	mesenchymal_cell
ACH-000053	lymphoid_system
ACH-000054	fibroblast
ACH-000055	embryo
ACH-000060	pancreas
ACH-000067	glial_cell
ACH-000070	lymphoid_system
ACH-000074	myeloid_cell
ACH-000075	glial_cell
ACH-000076	myeloid_cell
ACH-000077	lymphoid_system
ACH-000078	adrenal_gland
ACH-000082	osteoblast
ACH-000085	pancreas
ACH-000086	respiratory_system
ACH-000087	mesenchymal_cell
ACH-000090	prostate_gland
ACH-000092	respiratory_system
ACH-000093	pancreas
ACH-000094	pancreas
ACH-000095	embryo
ACH-000096	kidney
ACH-000097	mammary_gland
ACH-000098	glial_cell
ACH-000099	adrenal_gland
ACH-000100	muscle_cell
ACH-000101	lymphoid_system
ACH-000103	ovary
ACH-000106	lymphoid_system
ACH-000108	pancreas
ACH-000111	mammary_gland
ACH-000113	myeloid_cell
ACH-000114	pancreas
ACH-000115	prostate_gland
ACH-000116	ovary
ACH-000118	pancreas
ACH-000120	adrenal_gland
ACH-000123	ovary
ACH-000124	lymphoid_system
ACH-000127	urothelium
ACH-000128	glial_cell
ACH-000132	ovary
ACH-000133	fibroblast
ACH-000137	glial_cell
ACH-000138	pancreas
ACH-000139	pancreas
ACH-000141	digestive_system
ACH-000142	urothelium
ACH-000143	lung
ACH-000144	stomach
ACH-000145	smooth_muscle_cell
ACH-000146	myeloid_cell
ACH-000147	mammary_gland
ACH-000148	mammary_gland
ACH-000149	adrenal_gland
ACH-000151	lymphoid_system
ACH-000152	glial_cell
ACH-000153	respiratory_system
ACH-000155	pancreas
ACH-000159	kidney
ACH-000160	embryo
ACH-000161	lung
ACH-000163	mouth
ACH-000164	pancreas
ACH-000167	lymphoid_system
ACH-000168	myeloid_cell
ACH-000169	muscle_cell
ACH-000172	kidney
ACH-000174	thyroid_gland
ACH-000176	lung
ACH-000178	pancreas
ACH-000181	mouth
ACH-000182	small_intestine
ACH-000183	lymphoid_system
ACH-000187	lung
ACH-000188	mouth
ACH-000189	kidney
ACH-000190	myeloid_cell
ACH-000191	thyroid_gland
ACH-000192	uterus
ACH-000195	myeloid_cell
ACH-000198	myeloid_cell
ACH-000200	glial_cell
ACH-000202	colon
ACH-000203	adrenal_gland
ACH-000204	lymphoid_system
ACH-000206	lymphoid_system
ACH-000207	mouth
ACH-000208	glial_cell
ACH-000209	liver
ACH-000210	mesenchymal_cell
ACH-000211	embryo
ACH-000212	mammary_gland
ACH-000213	pancreas
ACH-000215	glial_cell
ACH-000216	stomach
ACH-000217	liver
ACH-000219	skin_of_body
ACH-000221	liver
ACH-000222	pancreas
ACH-000223	mammary_gland
ACH-000226	lymphoid_system
ACH-000227	adrenal_gland
ACH-000228	mouth
ACH-000231	glial_cell
ACH-000232	glial_cell
ACH-000233	lymphoid_system
ACH-000234	kidney
ACH-000235	pancreas
ACH-000237	ovary
ACH-000238	mouth
ACH-000239	stomach
ACH-000242	urothelium
ACH-000243	pancreas
ACH-000244	glial_cell
ACH-000246	kidney
ACH-000247	stomach
ACH-000248	mammary_gland
ACH-000249	colon
ACH-000250	kidney
ACH-000251	lung
ACH-000252	colon
ACH-000253	colon
ACH-000255	stomach
ACH-000256	ovary
ACH-000257	lung
ACH-000258	mammary_gland
ACH-000259	adrenal_gland
ACH-000260	adrenal_gland
ACH-000261	lung
ACH-000262	kidney
ACH-000263	myeloid_cell
ACH-000264	lung
ACH-000265	pancreas
ACH-000266	pancreas
ACH-000268	liver
ACH-000269	glial_cell
ACH-000271	lymphoid_system
ACH-000272	kidney
ACH-000273	glial_cell
ACH-000274	skin_of_body
ACH-000276	mammary_gland
ACH-000277	mammary_gland
ACH-000278	ovary
ACH-000279	mesenchymal_cell
ACH-000280	ovary
ACH-000281	pancreas
ACH-000286	colon
ACH-000288	mammary_gland
ACH-000290	lung
ACH-000291	ovary
ACH-000292	lung
ACH-000293	uterus
ACH-000294	myeloid_cell
ACH-000295	myeloid_cell
ACH-000296	colon
ACH-000302	uterus
ACH-000303	stomach
ACH-000304	skin_of_body
ACH-000305	esophagus
ACH-000307	pancreas
ACH-000308	ovary
ACH-000310	adrenal_gland
ACH-000311	lung
ACH-000312	adrenal_gland
ACH-000313	kidney
ACH-000315	lymphoid_system
ACH-000316	liver
ACH-000317	kidney
ACH-000318	esophagus
ACH-000319	respiratory_system
ACH-000320	pancreas
ACH-000322	skin_of_body
ACH-000323	glial_cell
ACH-000324	ovary
ACH-000325	stomach
ACH-000326	myeloid_cell
ACH-000329	glial_cell
ACH-000330	mammary_gland
ACH-000331	respiratory_system
ACH-000332	pancreas
ACH-000334	lymphoid_system
ACH-000335	respiratory_system
ACH-000336	myeloid_cell
ACH-000337	lung
ACH-000338	lymphoid_system
ACH-000339	lung
ACH-000341	adrenal_gland
ACH-000343	lung
ACH-000344	stomach
ACH-000345	adrenal_gland
ACH-000346	lymphoid_system
ACH-000348	skin_of_body
ACH-000350	colon
